New ID,pro Relationship Start Date,pro Relationship End Date
2345952,12/29/2015,01/27/2016
2345952,01/27/2016,11/07/2016
2348252,04/19/2012,05/22/2012
2348252,04/22/2013,05/15/2013
2348252,06/06/2013,06/11/2013
2348252,06/17/2013,08/14/2013
2348252,08/15/2013,09/09/2013
2348252,09/09/2013,03/31/2014
2348252,04/01/2014,01/02/2015
2348252,01/02/2015,05/13/2016
2348252,09/08/2016,02/22/2017
2348252,04/11/2017,
2350301,10/11/2016,11/03/2016
2373761,10/24/2017,
2380240,10/30/2013,01/20/2014
2380240,10/31/2013,11/20/2014
2385607,03/04/2014,04/22/2014
2385607,04/01/2014,06/23/2014
2385607,06/25/2014,02/04/2016
2385607,06/07/2016,09/13/2016
2395285,05/09/2014,06/12/2014
2411138,11/03/2017,
2417779,09/19/2017,
2421443,10/14/2014,11/27/2014
2421443,08/10/2016,10/07/2016
2421443,10/07/2016,
2426938,08/27/2014,10/09/2014
2426938,10/24/2014,11/04/2014
2427950,09/17/2010,07/16/2012
2427950,07/16/2012,12/03/2012
2427950,12/03/2012,12/11/2015
2427950,07/20/2015,12/11/2015
2429413,05/08/2014,05/29/2014
2435456,02/25/2014,03/03/2014
2435456,03/03/2014,10/28/2014
2435456,10/28/2014,10/31/2014
2435456,10/31/2014,11/14/2014
2435456,11/14/2014,07/13/2015
2443938,04/06/2016,06/27/2016
2448424,03/16/2015,09/22/2015
2452413,10/19/2011,07/26/2012
2458870,11/13/2013,01/06/2014
